companyID,companyAbbreviation,companyName,Industry,companySize,url,date_scrape
71,"Acadian Asset Management","Acadian Asset Management","Acadian specializes in active global and international equity strategies
employing sophisticated analytical models for active stock selection as well as peer group (country
region and industry) valuation.
active equity
low volatility
multi-asset investme","201-500 employees",https://www.linkedin.com/company/acadian-asset-management,"2021-03-22 18:26:00"
72,"Arrowstreet Capital, Limited Partnership","Arrowstreet Capital, Limited Partnership",NULL,"201-500 employees",https://www.linkedin.com/company/arrowstreet-capital,"2021-03-22 18:27:00"
73,"New England Asset Management, Inc. (NEAM, Inc.)","New England Asset Management, Inc. (NEAM, Inc.)","Asset Management
Enterprise & Capital Risk Management
Investment Technology Solutions
and Investment Accounting and Reporting Services","51-200 employees",https://www.linkedin.com/company/new_england_asset_management,"2021-03-22 18:28:00"
74,"Fisher Investments","Fisher Investments","Financial Services
Portfolio Management
Investment Advice
Retirement Planning
and Retirement Investment Planning","1,001-5,000 employees",https://www.linkedin.com/company/fisher-investments,"2021-03-22 18:29:00"
75,"Boston Partners Global Investors, Inc.","Boston Partners Global Investors, Inc.","Asset Management and Liquid Alternatives","51-200 employees",https://www.linkedin.com/company/boston-partners-global-investors/,"2021-03-22 18:29:00"
76,"OP Financial Group","OP Financial Group",NULL,"10,001 employees",https://www.linkedin.com/company/op-financial-group/,"2021-03-22 18:30:00"
77,"Metzler Asset Management","Metzler Asset Management",NULL,"201-500 employees",https://www.linkedin.com/company/metzler-asset-management/,"2021-03-22 21:19:00"
78,"Banca Mediolanum","Banca Mediolanum","Servizi Bancari
Servizi Finanziari
Investimenti
Risparmio
Previdenza
and Protezione","1,001-5,000 employees",https://www.linkedin.com/company/banca-mediolanum/,"2021-03-22 21:24:00"
79,"Barrow, Hanley, Mewhinney & Strauss","Barrow, Hanley, Mewhinney & Strauss","Investment Management","51-200 employees",https://www.linkedin.com/company/bhms,"2021-04-07 15:48:00"
80,"Achmea Investment Management","Achmea Investment Management","Investment Management","201-500 employees",https://nl.linkedin.com/company/achmea-investment-management,"2021-04-07 15:52:00"
81,"Galliard Capital Management","Galliard Capital Management","Fixed Income Investment Management
Stable Value Investment Management
and Institutional Investing","51-200 employees",https://www.linkedin.com/company/galliard-capital-management/,"2021-03-24 12:38:00"
82,"Storebrand Asset Management","Storebrand Asset Management",NULL,NULL,https://www.linkedin.com/showcase/storebrand-asset-management/,"2021-03-24 12:42:00"
83,"PineBridge Investments","PineBridge Investments","Asset Management
Investment Management
Equities
Fixed Income
Private Equity
and Multi Asset","501-1,000 employees",https://www.linkedin.com/company/pinebridge-investments/,"2021-03-24 12:45:00"
84,"OFI Asset Management","OFI Asset Management","Asset allocation
Equities
Fixed Income
Credit
Real Estate
Private Equity and Global Investment solutions
Asset Management
SRI
and Sustainable finance","201-500 employees",https://www.linkedin.com/company/ofi-asset-management,"2021-03-24 12:55:00"
85,"Rothschild & Co","Rothschild & Co","Global Advisory
Private Wealth
Merchant Banking
Asset Management
M&A advisory
Debt Advisory & Restructuring
Equity Advisory
Private Equity
Wealth Planning
Investment Management
Private Debt
Wealth Structuring
and Wealth Management","1,001-5,000 employees",https://www.linkedin.com/company/rothschildandco/,"2021-03-24 12:57:00"
86,Mesirow,Mesirow,"Investment Management
Capital Markets and Investment Banking
and Individual and Corporate Solutions","201-500 employees",https://www.linkedin.com/company/mesirow,"2021-03-24 12:58:00"
